snapshot_date	row_key	repo_id	repo_root	frozen_head	path_b64	display_path	index_mode	index_oid	index_stage	git_object_type	index_object_bytes	worktree_kind	worktree_lstat_bytes	authoritative_bytes	bytes_basis	lfs_pointer_state	lfs_oid_sha256	lfs_logical_bytes	dirty_state	index_status	worktree_status	classification	split_role	evidence_rule	evidence_level	build_target	archive_evidence	evidence_locator	caller_state	suggested_action	target_repo	confidence	risk	review_state	frozen_prompt_sha256	notes
2026-07-21	Aether3D-cross:YWV0aGVyX2NwcC9DTWFrZUxpc3RzLnR4dA==	Aether3D-cross	/Users/kaidongwang/Developer/Aether3D-cross	b930ab185135dfbd172aef7c2bbeed67ef315f75	YWV0aGVyX2NwcC9DTWFrZUxpc3RzLnR4dA==	aether_cpp/CMakeLists.txt	100644	2f3a3ea9eaceb2ca5ec44795544e0a8ceab0cfc5	0	blob	37646	REGULAR	46686	46686	WORKTREE_LSTAT_DIRTY_NOT_FROZEN_CONTENT	NOT_LFS			WORKTREE_MODIFIED	CLEAN	MODIFIED	shared	shared_build_definition	A26_SHARED_PRODUCT_AND_HOST_BUILD_DEFINITION	E4	Shared product/host build definition	NO_ARCHIVE_NOT_APPLICABLE	AETHER_HEAD:aether_cpp/CMakeLists.txt:130-184,328-339,544-675;aether_cpp/CMakeLists.txt	PRODUCT_AND_RESEARCH	STAY	SPLIT_LINE_AMBIGUOUS	HIGH	CRITICAL_DIRTY_SHARED	USER_DECISION_KEEP_2026_07_21	4b58b841caae62d6a8ed940816dcb5b07c9d7abd9aafe388589f5bd25c911e27	This dirty build definition owns both shipping and host research targets; its current owner must resolve intent, then split product/research build definitions or establish one canonical consumer mechanism. User decision: SPLIT_LINE_AMBIGUOUS stays in place.
2026-07-21	Aether3D-cross:YWV0aGVyX2NwcC9QSEFTRTNfQkxPQ0tFUi5tZA==	Aether3D-cross	/Users/kaidongwang/Developer/Aether3D-cross	b930ab185135dfbd172aef7c2bbeed67ef315f75	YWV0aGVyX2NwcC9QSEFTRTNfQkxPQ0tFUi5tZA==	aether_cpp/PHASE3_BLOCKER.md	100644	a155f861c2cbfd738d0d49afb8dd75e468cef8a0	0	blob	4096	REGULAR	4096	4096	GIT_INDEX_BLOB	NOT_LFS			CLEAN	CLEAN	CLEAN	unresolved	unresolved	A05_AETHER_PHASE_DOCUMENT_UNPROVEN	E1	NO_FROZEN_BUILD_TARGET	NO_ARCHIVE_NOT_APPLICABLE	AETHER_HEAD:aether_cpp/PHASE3_BLOCKER.md	FILENAME_NOT_SUFFICIENT_BUILD_EVIDENCE	STAY	SPLIT_LINE_AMBIGUOUS	LOW	MEDIUM_AMBIGUOUS	USER_DECISION_KEEP_2026_07_21	4b58b841caae62d6a8ed940816dcb5b07c9d7abd9aafe388589f5bd25c911e27	User decision: SPLIT_LINE_AMBIGUOUS stays in place.
2026-07-21	Aether3D-cross:YWV0aGVyX2NwcC9QSEFTRTRfUExBTi5tZA==	Aether3D-cross	/Users/kaidongwang/Developer/Aether3D-cross	b930ab185135dfbd172aef7c2bbeed67ef315f75	YWV0aGVyX2NwcC9QSEFTRTRfUExBTi5tZA==	aether_cpp/PHASE4_PLAN.md	100644	839a4cc9aff182fee47b1c89549e7467cfeafa45	0	blob	10857	REGULAR	10857	10857	GIT_INDEX_BLOB	NOT_LFS			CLEAN	CLEAN	CLEAN	unresolved	unresolved	A05_AETHER_PHASE_DOCUMENT_UNPROVEN	E1	NO_FROZEN_BUILD_TARGET	NO_ARCHIVE_NOT_APPLICABLE	AETHER_HEAD:aether_cpp/PHASE4_PLAN.md	FILENAME_NOT_SUFFICIENT_BUILD_EVIDENCE	STAY	SPLIT_LINE_AMBIGUOUS	LOW	MEDIUM_AMBIGUOUS	USER_DECISION_KEEP_2026_07_21	4b58b841caae62d6a8ed940816dcb5b07c9d7abd9aafe388589f5bd25c911e27	User decision: SPLIT_LINE_AMBIGUOUS stays in place.
2026-07-21	Aether3D-cross:YWV0aGVyX2NwcC9QSEFTRTVfUExBTi5tZA==	Aether3D-cross	/Users/kaidongwang/Developer/Aether3D-cross	b930ab185135dfbd172aef7c2bbeed67ef315f75	YWV0aGVyX2NwcC9QSEFTRTVfUExBTi5tZA==	aether_cpp/PHASE5_PLAN.md	100644	acee2b958702e96ba1b1443c1f6483c54f02b9d3	0	blob	20751	REGULAR	20751	20751	GIT_INDEX_BLOB	NOT_LFS			CLEAN	CLEAN	CLEAN	unresolved	unresolved	A05_AETHER_PHASE_DOCUMENT_UNPROVEN	E1	NO_FROZEN_BUILD_TARGET	NO_ARCHIVE_NOT_APPLICABLE	AETHER_HEAD:aether_cpp/PHASE5_PLAN.md	FILENAME_NOT_SUFFICIENT_BUILD_EVIDENCE	STAY	SPLIT_LINE_AMBIGUOUS	LOW	MEDIUM_AMBIGUOUS	USER_DECISION_KEEP_2026_07_21	4b58b841caae62d6a8ed940816dcb5b07c9d7abd9aafe388589f5bd25c911e27	User decision: SPLIT_LINE_AMBIGUOUS stays in place.
2026-07-21	Aether3D-cross:YWV0aGVyX2NwcC9QSEFTRTZfNF9CQVRDSDJfUFJPTVBUX1YyLm1k	Aether3D-cross	/Users/kaidongwang/Developer/Aether3D-cross	b930ab185135dfbd172aef7c2bbeed67ef315f75	YWV0aGVyX2NwcC9QSEFTRTZfNF9CQVRDSDJfUFJPTVBUX1YyLm1k	aether_cpp/PHASE6_4_BATCH2_PROMPT_V2.md	100644	a6a82b8c157633a5a7c606eb117430909372fd59	0	blob	36124	REGULAR	36124	36124	GIT_INDEX_BLOB	NOT_LFS			CLEAN	CLEAN	CLEAN	unresolved	unresolved	A05_AETHER_PHASE_DOCUMENT_UNPROVEN	E1	NO_FROZEN_BUILD_TARGET	NO_ARCHIVE_NOT_APPLICABLE	AETHER_HEAD:aether_cpp/PHASE6_4_BATCH2_PROMPT_V2.md	FILENAME_NOT_SUFFICIENT_BUILD_EVIDENCE	STAY	SPLIT_LINE_AMBIGUOUS	LOW	MEDIUM_AMBIGUOUS	USER_DECISION_KEEP_2026_07_21	4b58b841caae62d6a8ed940816dcb5b07c9d7abd9aafe388589f5bd25c911e27	User decision: SPLIT_LINE_AMBIGUOUS stays in place.
2026-07-21	Aether3D-cross:YWV0aGVyX2NwcC9QSEFTRTZfUExBTi5tZA==	Aether3D-cross	/Users/kaidongwang/Developer/Aether3D-cross	b930ab185135dfbd172aef7c2bbeed67ef315f75	YWV0aGVyX2NwcC9QSEFTRTZfUExBTi5tZA==	aether_cpp/PHASE6_PLAN.md	100644	3a6bf5b15ef530933f94d167b7c772a63878f039	0	blob	58550	REGULAR	58550	58550	GIT_INDEX_BLOB	NOT_LFS			CLEAN	CLEAN	CLEAN	unresolved	unresolved	A05_AETHER_PHASE_DOCUMENT_UNPROVEN	E1	NO_FROZEN_BUILD_TARGET	NO_ARCHIVE_NOT_APPLICABLE	AETHER_HEAD:aether_cpp/PHASE6_PLAN.md	FILENAME_NOT_SUFFICIENT_BUILD_EVIDENCE	STAY	SPLIT_LINE_AMBIGUOUS	LOW	MEDIUM_AMBIGUOUS	USER_DECISION_KEEP_2026_07_21	4b58b841caae62d6a8ed940816dcb5b07c9d7abd9aafe388589f5bd25c911e27	User decision: SPLIT_LINE_AMBIGUOUS stays in place.
2026-07-21	Aether3D-cross:YWV0aGVyX2NwcC9QSEFTRV9CQUNLTE9HLm1k	Aether3D-cross	/Users/kaidongwang/Developer/Aether3D-cross	b930ab185135dfbd172aef7c2bbeed67ef315f75	YWV0aGVyX2NwcC9QSEFTRV9CQUNLTE9HLm1k	aether_cpp/PHASE_BACKLOG.md	100644	8f8f12d1610170d5a49f12b377c750dda299771b	0	blob	30342	REGULAR	30342	30342	GIT_INDEX_BLOB	NOT_LFS			CLEAN	CLEAN	CLEAN	unresolved	unresolved	A05_AETHER_PHASE_DOCUMENT_UNPROVEN	E1	NO_FROZEN_BUILD_TARGET	NO_ARCHIVE_NOT_APPLICABLE	AETHER_HEAD:aether_cpp/PHASE_BACKLOG.md	FILENAME_NOT_SUFFICIENT_BUILD_EVIDENCE	STAY	SPLIT_LINE_AMBIGUOUS	LOW	MEDIUM_AMBIGUOUS	USER_DECISION_KEEP_2026_07_21	4b58b841caae62d6a8ed940816dcb5b07c9d7abd9aafe388589f5bd25c911e27	User decision: SPLIT_LINE_AMBIGUOUS stays in place.
2026-07-21	Aether3D-cross:YWV0aGVyX2NwcC9QSEFTRV9GTFVUVEVSX1ZJRVdFUl9QTEFOLm1k	Aether3D-cross	/Users/kaidongwang/Developer/Aether3D-cross	b930ab185135dfbd172aef7c2bbeed67ef315f75	YWV0aGVyX2NwcC9QSEFTRV9GTFVUVEVSX1ZJRVdFUl9QTEFOLm1k	aether_cpp/PHASE_FLUTTER_VIEWER_PLAN.md	100644	fa24da7c4921b74dbd802bf2d485c15eb2ce0bf7	0	blob	13304	REGULAR	13304	13304	GIT_INDEX_BLOB	NOT_LFS			CLEAN	CLEAN	CLEAN	unresolved	unresolved	A05_AETHER_PHASE_DOCUMENT_UNPROVEN	E1	NO_FROZEN_BUILD_TARGET	NO_ARCHIVE_NOT_APPLICABLE	AETHER_HEAD:aether_cpp/PHASE_FLUTTER_VIEWER_PLAN.md	FILENAME_NOT_SUFFICIENT_BUILD_EVIDENCE	STAY	SPLIT_LINE_AMBIGUOUS	LOW	MEDIUM_AMBIGUOUS	USER_DECISION_KEEP_2026_07_21	4b58b841caae62d6a8ed940816dcb5b07c9d7abd9aafe388589f5bd25c911e27	User decision: SPLIT_LINE_AMBIGUOUS stays in place.
2026-07-21	Aether3D-cross:YWV0aGVyX2NwcC9hZXRoZXIzZF9mZmkucG9kc3BlYw==	Aether3D-cross	/Users/kaidongwang/Developer/Aether3D-cross	b930ab185135dfbd172aef7c2bbeed67ef315f75	YWV0aGVyX2NwcC9hZXRoZXIzZF9mZmkucG9kc3BlYw==	aether_cpp/aether3d_ffi.podspec	100644	feb4d4b84869c98b53bdb498f38bea857e0e1efa	0	blob	7572	REGULAR	7572	7572	GIT_INDEX_BLOB	NOT_LFS			CLEAN	CLEAN	CLEAN	product	product	A02_PRODUCT_BUILD_SOURCE	E4	Aether product library target in evidence_locator	NO_PER_PATH_ARCHIVE_MEMBER_CHECK_THIS_PASS	AETHER_HEAD:aether_cpp/aether3d_ffi.podspec;aether_cpp/CMakeLists.txt	PRODUCT_LIBRARY_BUILD_GRAPH	MOVE	pocketworld	HIGH	HIGH_BUILD_PATH_REWRITE	CONFIRMED	4b58b841caae62d6a8ed940816dcb5b07c9d7abd9aafe388589f5bd25c911e27	
2026-07-21	Aether3D-cross:YWV0aGVyX2NwcC9idWlsZF9jb2RleF9maXgvQ01ha2VDYWNoZS50eHQ=	Aether3D-cross	/Users/kaidongwang/Developer/Aether3D-cross	b930ab185135dfbd172aef7c2bbeed67ef315f75	YWV0aGVyX2NwcC9idWlsZF9jb2RleF9maXgvQ01ha2VDYWNoZS50eHQ=	aether_cpp/build_codex_fix/CMakeCache.txt	100644	edd13cf509a794f64fabfe8a43c829077291d7b2	0	blob	13491	REGULAR	13491	13491	GIT_INDEX_BLOB	NOT_LFS			CLEAN	CLEAN	CLEAN	dead	dead_retired	A01_TRACKED_BUILD_OUTPUT	E1	NO_LIVE_SOURCE_TARGET;tracked generated output	TRACKED_BUILD_OUTPUT;NO_SOURCE_REVISION_BINDING	AETHER_HEAD:aether_cpp/build_codex_fix/CMakeCache.txt;path-root:aether_cpp/build_codex_fix	GENERATED_BUILD_TREE	DELETE_CANDIDATE	NONE	HIGH	MEDIUM_DELETE_REVIEW	CONFIRMED_CANDIDATE	4b58b841caae62d6a8ed940816dcb5b07c9d7abd9aafe388589f5bd25c911e27	
