cohort	path	nominal_bytes	file_type	continuation_pre_flags	continuation_pre_allocated_512b_blocks	post_flags	post_allocated_512b_blocks	content_sha256
ORIGINAL_294	/Users/kaidongwang/Desktop/tiled_414_viewer/cloud.ply	1877235	regular	-	3672	-	3672	a544bd9daf5d28b89dcb5f1ef3e764185519fdf2a298057eecdbb47ec9d4835d
ORIGINAL_294	/Users/kaidongwang/Desktop/tiled_414_viewer/cloud_ab_B.ply	3066855	regular	compressed,dataless	0	-	5992	86b5af682b66bebbbdadb7132fb30a3e281ffa86eca8077f8201364ea2448fda
ORIGINAL_294	/Users/kaidongwang/Desktop/tiled_414_viewer/cloud_ab_Cworst.ply	3064200	regular	compressed,dataless	0	-	5992	67d025800cd55203d75c8e61791fff6284aaf40129be9dffe68a63123325c5c5
ORIGINAL_294	/Users/kaidongwang/Desktop/tiled_414_viewer/cloud_batch224k.ply	3368985	regular	compressed,dataless	0	-	6584	149ec372fa64d56d9e09b3a452f11eb7dcff191d20fd6c9bf05a8f7b97c5d348
ORIGINAL_294	/Users/kaidongwang/Desktop/tiled_414_viewer/cloud_c4354.ply	3065070	regular	compressed,dataless	0	-	5992	d881c19d986ae709c042cf03cb2819b778dcaed6d4ce1c678b502f2a6dc27ed8
ORIGINAL_294	/Users/kaidongwang/Desktop/tiled_414_viewer/cloud_clean20.ply	2062890	regular	compressed,dataless	0	-	4032	53dc5780b6f45a6ff5ae629ee5098b2b2530653ad95e8a9f61dfbf4351834a6c
ORIGINAL_294	/Users/kaidongwang/Desktop/tiled_414_viewer/cloud_clean25.ply	2071170	regular	compressed,dataless	0	-	4048	0c7112538b41d0713b83f44f147731d09925eb943523de5d500f237071cddaf6
ORIGINAL_294	/Users/kaidongwang/Desktop/tiled_414_viewer/cloud_clean30.ply	2108580	regular	compressed,dataless	0	-	4120	e569e0de81b00396a4142533aace6d41c64411c4ee73e8966b96cc3e759602d1
ORIGINAL_294	/Users/kaidongwang/Desktop/tiled_414_viewer/cloud_dense242k.ply	3633435	regular	compressed,dataless	0	-	7104	3ae3ad9fa8003d9cb63d88127bca5d10b311636e360f2cb329c2f62c76b2027c
ORIGINAL_294	/Users/kaidongwang/Desktop/tiled_414_viewer/cloud_ft2.ply	3025155	regular	compressed,dataless	0	-	5912	7ae283637f0eab6c22daeb87262809a96def7535460b45b09a4a8ea8a3ebc35a
ORIGINAL_294	/Users/kaidongwang/Desktop/tiled_414_viewer/cloud_full_k10.ply	1646970	regular	compressed,dataless	0	-	3224	b312b9e5e6cb8e83fd37287bde1c1f8687fba4c1b65635ced506d51216bb6b4d
ORIGINAL_294	/Users/kaidongwang/Desktop/tiled_414_viewer/cloud_full_k10_mutual.ply	1094429	regular	compressed,dataless	0	-	2144	de782a89ce22360c7c6e2bf9271d3e4e1f8d73af14943657bbea5b480e305045
ORIGINAL_294	/Users/kaidongwang/Desktop/tiled_414_viewer/cloud_full_k18.ply	2027670	regular	compressed,dataless	0	-	3968	9d130dbc7f2413bd921e10943b933062d701388b40bbecb2689d82335f2b1a4a
ORIGINAL_294	/Users/kaidongwang/Desktop/tiled_414_viewer/cloud_k10.ply	2104635	regular	compressed,dataless	0	-	4112	63aaf0a97fe8998a052d62b414bbfc5c54f5b2c66e660c65001c1cb3f93a38a8
ORIGINAL_294	/Users/kaidongwang/Desktop/tiled_414_viewer/cloud_k12.ply	2114745	regular	compressed,dataless	0	-	4136	d502dffcfd58b2ca414823869dd0765a1523f762d17424ecffa5a8f05e9ba23c
ORIGINAL_294	/Users/kaidongwang/Desktop/tiled_414_viewer/cloud_k12_mutual.ply	1177094	regular	compressed,dataless	0	-	2304	10504844eb163ccff6a5ef423aad7b3cceca0ae34ca0fe9406af2312be45c3df
ORIGINAL_294	/Users/kaidongwang/Desktop/tiled_414_viewer/cloud_k12_near.ply	2109360	regular	compressed,dataless	0	-	4120	eb2a0df6f69354cfd1a5f7073de7eb214101517fda923b5918ef0df3a911fa59
ORIGINAL_294	/Users/kaidongwang/Desktop/tiled_414_viewer/cloud_k12_w040.ply	1447394	regular	compressed,dataless	0	-	2832	c257db2f4d9da2824f393c99bde0aa45aed31f3a21d1c52724262d7d2a498eb5
ORIGINAL_294	/Users/kaidongwang/Desktop/tiled_414_viewer/cloud_k12_w055.ply	1322714	regular	compressed,dataless	0	-	2584	9ac393e2e888b06384c76e20094954a649ea69a7148f6205bc56055c24692554
ORIGINAL_294	/Users/kaidongwang/Desktop/tiled_414_viewer/cloud_k20.ply	2125755	regular	compressed,dataless	0	-	4152	190c733fc0992bf1f86f285467b30afe178af4b024fa19996c9a826886ca11cf
ORIGINAL_294	/Users/kaidongwang/Desktop/tiled_414_viewer/cloud_k6.ply	2058810	regular	compressed,dataless	0	-	4024	8c2945a225235bcb069cbee7926f48d0fb875b57a11ccf5795610ca580f1bc1f
ORIGINAL_294	/Users/kaidongwang/Desktop/tiled_414_viewer/cloud_k8.ply	2107530	regular	compressed,dataless	0	-	4120	81840e9368fd71673e07fdc19eb79e64dc00da553390bbe516afafffb943168a
ORIGINAL_294	/Users/kaidongwang/Desktop/tiled_414_viewer/cloud_mutual.ply	1135739	regular	compressed,dataless	0	-	2224	b5d18880c14fb38de67f0b9c7a6d554136846298ca1a13955ac5c1526697c356
ORIGINAL_294	/Users/kaidongwang/Desktop/tiled_414_viewer/cloud_phone_bedroom.ply	245869	regular	compressed,dataless	0	-	488	14dcf899e7ab0c5b901d5c8cf59e22c40f3d57d21b9651cefb991284d37babbe
ORIGINAL_294	/Users/kaidongwang/Desktop/tiled_414_viewer/cloud_scene_dsp.ply	3779430	regular	compressed,dataless	0	-	7384	f3edd292548bf1ebf15d5d36238f12050a1ccdfd49ac9e91aeff66825f43dd54
ORIGINAL_294	/Users/kaidongwang/Desktop/tiled_414_viewer/cloud_wf025.ply	1449284	regular	compressed,dataless	0	-	2832	649eacb7ede51c09845946722d3ab9e4be99a9a57c45ea23247667f7d75411fd
ORIGINAL_294	/Users/kaidongwang/Desktop/tiled_414_viewer/cloud_wf040.ply	1270934	regular	compressed,dataless	0	-	2488	d76c729ba3543eb0c88dc9966b39a0f91a8a16f38625d3b22051be78615f4db1
ORIGINAL_294	/Users/kaidongwang/Desktop/tiled_414_viewer/cloud_wf055.ply	1140569	regular	compressed,dataless	0	-	2232	0de9a57e9ab262e29020a46b34b6282108540c9e47e7390cf6f9599ae248d320
ORIGINAL_294	/Users/kaidongwang/Desktop/tiled_414_viewer/cloud_wf070.ply	1079159	regular	compressed,dataless	0	-	2112	101e12bb05016d52051ed30a81e6670765346d0a5b1a8a3da7c6d760186ed7e3
ORIGINAL_294	/Users/kaidongwang/Desktop/tiled_414_viewer/cloud_wide_off.ply	2096025	regular	compressed,dataless	0	-	4096	1282b4b07ccf83275f7033d686008c4afdf9843cc23f909a4cd3fd55ffed13b8
