config,mac_infer_per_group,pose_rmse,pose_p90,edge_corr,highlight_conf,phone_cpu_peak_note
K35@476x742,51.677s,6.0733,8.4533,0.1331,13.1662,PASS: one-core 583%; device 97.2%; peak RSS 1480MB
K35@476x728,45.997s,6.2234,8.9101,0.1345,13.5979,未测：五点邻域第二名，但 RMSE/P90 都没超过 476x742
K35@462x742,49.411s,6.3095,9.5132,0.1330,11.8529,未测：RMSE 赢 462x756，但 P90 回退
K35@462x756,51.396s,6.3808,9.1589,0.1300,11.8603,PASS: one-core 571%; device 95.2%; peak RSS 2136MB
K35@476x756,54.799s,6.4008,9.1120,0.1334,12.8343,未测：P90 小赢 462x756，但 RMSE/速度不如 476x742
K35@490x728,49.018s,6.4052,9.4117,0.1337,14.5688,未测：高光强，但几何回退
K35@490x742,50.822s,6.4081,9.3231,0.1341,13.9900,未测：加高没赢，RMSE/P90 都回退
K35@462x728,45.713s,6.4338,9.0836,0.1335,12.7576,未测：左下角封口，RMSE/P90 都没超过 476x742
K35@490x756,54.654s,6.4782,9.5197,0.1314,13.5587,未测：右上角封口，高光尚可但几何回退
K35@448x742,43.128s,6.4855,9.1281,0.1334,10.8822,未测：更快近似打平；P90 比 448x756 只差 0.0126
K34@476x742,45.319s,6.4855,9.7137,0.1417,14.4662,未测：K-1 Edge/高光强，但几何回退
K36@476x742,50.594s,6.5187,9.4917,0.1421,14.4257,未测：K+1 Edge/高光强，但几何回退
K36@462x756,54.187s,6.5369,9.6135,0.1403,12.7827,未测：Edge/高光强，但几何未超过 K35
K35@448x756,44.589s,6.5642,9.1155,0.1329,10.4509,PASS: one-core 526%; device 87.6%; peak RSS 1587MB
K35@462x770,52.533s,6.6606,9.5207,0.1302,10.8326,未测：也超过 448x770，但不如 448x756
K35@448x770,49.854s,6.7496,9.7523,0.1312,9.5684,PASS: one-core 578%; device 96.3%; peak RSS 1676MB
K34@448x770,46.993s,6.9716,10.0022,0.1379,10.7924,未测：K 轴低一格，几何未超过 K35
K36@448x770,52.539s,7.0086,10.3254,0.1400,10.9137,未测：K 轴高一格，几何未超过 K35
K35@420x756,40.435s,6.8052,9.9486,0.1320,7.9228,未测：速度候选，但质量已不如 448x756
K35@434x756,45.050s,6.9751,9.5650,0.1316,9.1666,未测：旧 P90 强候选，但已不如 448x756
K35@420x770,42.881s,7.0273,10.3465,0.1296,7.1894,未测：RMSE 赢基准，P90 略差
K35@434x784,47.166s,7.1321,10.2969,0.1307,7.7026,未测：小幅超过基准，收益不大
K35@434x770,45.152s,7.1499,10.3079,0.1298,8.3094,PASS: one-core 586%; device 97.7%; peak RSS 1856MB
K36@434x770,46.524s,7.2423,10.8527,0.1395,9.6831,未测：K36 方向几何未超过
K35@448x798,51.853s,7.2360,10.5807,0.1310,8.5543,PASS: one-core 585%; device 97.4%; peak RSS 1220MB
K36@448x798,100.440s,7.1972,10.6224,0.1372,9.7786,未测：RMSE 略好但 P90 略差
K35@462x826,63.605s,7.4724,10.3020,0.1273,8.7957,未测：P90 近似最好，但 RMSE 明显差
K34@448x798,84.823s,7.4274,11.1824,0.1346,9.5601,未测：几何未超过基准
K35@476x840,63.162s,7.5452,11.0553,0.1263,9.7697,未测：Mac 强候选
K35@490x868,71.115s,7.5465,10.6823,0.1246,9.4822,未测：Mac 强候选
K40@504x896,98.201s,7.8586,11.2957,0.1316,10.5716,跑不动：ActiveHard 3072MB；CPU 峰值未返回
K30@504x896,53.140s,8.2872,12.0056,0.1272,10.4548,PASS: single-run one-core 543%; device 90.4%; 3-run warm repeat completed
K35@504x896,79.944s,8.0684,11.4105,0.1264,9.9203,未测：Mac 不如更小 K35，手机风险高
K40@448x896,79.908s,8.8149,13.2814,0.1335,6.5498,跑不动：per-process-limit 3074MB；CPU 峰值未返回
K40@392x392,13.636-21.28s,9.809-11.6656,14.874-17.9116,0.1891-0.2722,6.598-11.7498,one-core 576%; device 95.9%
K30@336x336,4.38s,10.100,15.092,0.2689,5.973,one-core 565%; device 94.2%
K20@336x336,未记录,未记录,未记录,未记录,未记录,one-core 480%; device 79.9%
K40@336x336,15.87s,9.913,15.088,0.2717,6.187,未测
K30@392x392,16.15s,10.250,15.238,0.2664,6.340,未测
K50@392x392,27.5448s,11.7739,17.1430,0.1816,11.6691,未测
K60@392x392,38.0297s,12.1395,18.1840,0.1837,11.8603,one-core 418%; device 69.7%; product fail
K40@588x1036,187.383s,8.8680,12.7633,0.1227,11.3690,跑不动：BNNS workspace about 3.53GB
K30@588x1036,107.656s,8.9662,12.5433,0.1199,11.0043,跑不动：iOS 3072MB high-watermark
K40@518x1036,143.309s,9.7779,14.0057,0.1250,7.7640,取消手机测：Mac 质量弱于 588x1036
